trip_id,route_id,stop_id,arrival_delay,departure_delay,event_ts
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1240,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1113,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1343,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1443,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1613,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1616,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,2980,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,451,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,60,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,70,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1015,0,0,1970-01-01 01:00:00
6252505-11_A_50_1105_17:38-SETP2025-11-Semaine-37,11,1223,0,0,1970-01-01 01:00:00
6355839-18_A_50_1802_15:43-SETP2025-18-Semaine-39,18,482,0,0,1970-01-01 01:00:00
6355839-18_A_50_1802_15:43-SETP2025-18-Semaine-39,18,706,0,0,1970-01-01 01:00:00
6355839-18_A_50_1802_15:43-SETP2025-18-Semaine-39,18,937,0,0,1970-01-01 01:00:00
6355839-18_A_50_1802_15:43-SETP2025-18-Semaine-39,18,1249,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2514,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2522,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2525,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2505,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,1407,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2501,0,0,1970-01-01 01:00:00
6452820-T1_A_12_VT110_16:13-SETP2025-L1-Semaine-04,L1,2527,0,0,1970-01-01 01:00:00
4515176-80_R_95_8001_18:43-RESEAU2023-80-Semaine-94,80,2676,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,243,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1355,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,44,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,65,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,201,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,376,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1022,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,1597,0,0,1970-01-01 01:00:00
6424169-16_A_50_1603_16:29-SETP2025-16-Semaine-35,16,748,0,0,1970-01-01 01:00:00
